homs 19489
full order 6 3d 18 {'char0': 18, 'char2': 18, 'char3': 18} gens [[0, 1, 3, 4, 2], [1, 0, 4, 2, 3], [1, 0, 3, 4, 2], [0, 1, 4, 2, 3]]
full order 6 3d 18 {'char0': 18, 'char2': 18, 'char3': 18} gens [[0, 1, 3, 4, 2], [1, 0, 4, 2, 3], [1, 0, 3, 4, 2], [1, 0, 2, 3, 4]]
full order 6 3d 18 {'char0': 18, 'char2': 18, 'char3': 18} gens [[0, 1, 3, 4, 2], [1, 0, 4, 2, 3], [1, 0, 3, 4, 2], [1, 0, 3, 4, 2]]
full order 6 3d 18 {'char0': 18, 'char2': 18, 'char3': 18} gens [[0, 1, 3, 4, 2], [1, 0, 4, 2, 3], [1, 0, 3, 4, 2], [1, 0, 4, 2, 3]]
full order 6 3d 18 {'char0': 18, 'char2': 18, 'char3': 18} gens [[0, 1, 3, 4, 2], [1, 0, 4, 2, 3], [1, 0, 4, 2, 3], [0, 1, 2, 3, 4]]
full order 6 3d 18 {'char0': 18, 'char2': 18, 'char3': 18} gens [[0, 1, 3, 4, 2], [1, 0, 4, 2, 3], [1, 0, 4, 2, 3], [0, 1, 3, 4, 2]]
full order 6 3d 18 {'char0': 18, 'char2': 18, 'char3': 18} gens [[0, 1, 3, 4, 2], [1, 0, 4, 2, 3], [1, 0, 4, 2, 3], [0, 1, 4, 2, 3]]
full order 6 3d 18 {'char0': 18, 'char2': 18, 'char3': 18} gens [[0, 1, 3, 4, 2], [1, 0, 4, 2, 3], [1, 0, 4, 2, 3], [1, 0, 2, 3, 4]]
full order 6 3d 18 {'char0': 18, 'char2': 18, 'char3': 18} gens [[0, 1, 3, 4, 2], [1, 0, 4, 2, 3], [1, 0, 4, 2, 3], [1, 0, 3, 4, 2]]
full order 6 3d 18 {'char0': 18, 'char2': 18, 'char3': 18} gens [[0, 1, 3, 4, 2], [1, 0, 4, 2, 3], [1, 0, 4, 2, 3], [1, 0, 4, 2, 3]]
full order 12 3d 36 {'char0': 36, 'char2': 36, 'char3': 36} gens [[0, 2, 1, 4, 3], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 3, 4, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 1, 4, 3], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 3, 4, 2, 1]]
full order 60 3d 180 {'char0': 180, 'char2': 180, 'char3': 180} gens [[0, 2, 1, 4, 3], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [1, 2, 3, 4, 0]]
full order 120 3d 360 {'char0': 360, 'char2': 360, 'char3': 360} gens [[0, 2, 1, 4, 3], [0, 1, 2, 3, 4], [0, 1, 3, 2, 4], [1, 0, 2, 3, 4]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 1, 4, 3], [0, 1, 2, 3, 4], [0, 2, 1, 4, 3], [0, 3, 4, 2, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 1, 4, 3], [0, 1, 2, 3, 4], [0, 3, 4, 2, 1], [0, 1, 2, 3, 4]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 1, 4, 3], [0, 1, 2, 3, 4], [0, 3, 4, 2, 1], [0, 2, 1, 4, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 1, 4, 3], [0, 1, 2, 3, 4], [0, 3, 4, 2, 1], [0, 3, 4, 2, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 1, 4, 3], [0, 1, 2, 3, 4], [0, 3, 4, 2, 1], [0, 4, 3, 1, 2]]
full order 10 3d 30 {'char0': 30, 'char2': 30, 'char3': 30} gens [[0, 2, 1, 4, 3], [0, 1, 2, 3, 4], [1, 3, 0, 4, 2], [0, 1, 2, 3, 4]]
full order 24 3d 72 {'char0': 72, 'char2': 72, 'char3': 72} gens [[0, 2, 1, 4, 3], [0, 1, 2, 4, 3], [0, 1, 2, 3, 4], [0, 1, 3, 4, 2]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 2, 1, 4, 3], [0, 1, 2, 4, 3], [0, 1, 2, 3, 4], [0, 3, 4, 1, 2]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 2, 1, 4, 3], [0, 1, 2, 4, 3], [0, 1, 2, 3, 4], [0, 3, 4, 2, 1]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 2, 1, 4, 3], [0, 1, 2, 4, 3], [0, 2, 1, 4, 3], [0, 3, 4, 1, 2]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 2, 1, 4, 3], [0, 1, 2, 4, 3], [0, 2, 1, 4, 3], [0, 3, 4, 2, 1]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 2, 1, 4, 3], [0, 1, 2, 4, 3], [0, 3, 4, 1, 2], [0, 1, 2, 3, 4]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 2, 1, 4, 3], [0, 1, 2, 4, 3], [0, 3, 4, 1, 2], [0, 2, 1, 4, 3]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 2, 1, 4, 3], [0, 1, 2, 4, 3], [0, 3, 4, 1, 2], [0, 3, 4, 1, 2]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 2, 1, 4, 3], [0, 1, 2, 4, 3], [0, 3, 4, 1, 2], [0, 4, 3, 2, 1]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 2, 1, 4, 3], [0, 1, 2, 4, 3], [0, 3, 4, 2, 1], [0, 1, 2, 3, 4]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 2, 1, 4, 3], [0, 1, 2, 4, 3], [0, 3, 4, 2, 1], [0, 2, 1, 4, 3]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 2, 1, 4, 3], [0, 1, 2, 4, 3], [0, 3, 4, 2, 1], [0, 3, 4, 2, 1]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 2, 1, 4, 3], [0, 1, 2, 4, 3], [0, 3, 4, 2, 1], [0, 4, 3, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 1, 4, 3], [0, 2, 1, 4, 3], [0, 1, 2, 3, 4], [0, 3, 4, 2, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 1, 4, 3], [0, 2, 1, 4, 3], [0, 2, 1, 4, 3], [0, 3, 4, 2, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 1, 4, 3], [0, 2, 1, 4, 3], [0, 3, 4, 2, 1], [0, 1, 2, 3, 4]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 1, 4, 3], [0, 2, 1, 4, 3], [0, 3, 4, 2, 1], [0, 2, 1, 4, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 1, 4, 3], [0, 2, 1, 4, 3], [0, 3, 4, 2, 1], [0, 3, 4, 2, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 1, 4, 3], [0, 2, 1, 4, 3], [0, 3, 4, 2, 1], [0, 4, 3, 1, 2]]
full order 10 3d 30 {'char0': 30, 'char2': 30, 'char3': 30} gens [[0, 2, 1, 4, 3], [0, 2, 1, 4, 3], [1, 3, 0, 4, 2], [0, 1, 2, 3, 4]]
full order 60 3d 180 {'char0': 180, 'char2': 180, 'char3': 180} gens [[0, 2, 1, 4, 3], [0, 3, 4, 1, 2], [0, 1, 2, 3, 4], [1, 2, 4, 0, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 1, 4, 3], [0, 3, 4, 2, 1], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 2, 1, 4, 3], [0, 3, 4, 2, 1], [0, 1, 2, 3, 4], [0, 1, 2, 4, 3]]
full order 24 3d 72 {'char0': 72, 'char2': 72, 'char3': 72} gens [[0, 2, 1, 4, 3], [0, 3, 4, 2, 1], [0, 1, 2, 3, 4], [0, 1, 3, 4, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 1, 4, 3], [0, 3, 4, 2, 1], [0, 1, 2, 3, 4], [0, 2, 1, 4, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 1, 4, 3], [0, 3, 4, 2, 1], [0, 1, 2, 3, 4], [0, 3, 4, 2, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 1, 4, 3], [0, 3, 4, 2, 1], [0, 1, 2, 3, 4], [0, 4, 3, 1, 2]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 2, 1, 4, 3], [0, 3, 4, 2, 1], [0, 1, 2, 4, 3], [0, 1, 2, 3, 4]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 2, 1, 4, 3], [0, 3, 4, 2, 1], [0, 1, 2, 4, 3], [0, 1, 2, 4, 3]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 2, 1, 4, 3], [0, 3, 4, 2, 1], [0, 1, 2, 4, 3], [0, 2, 1, 3, 4]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 2, 1, 4, 3], [0, 3, 4, 2, 1], [0, 1, 2, 4, 3], [0, 2, 1, 4, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 1, 4, 3], [0, 3, 4, 2, 1], [0, 2, 1, 4, 3], [0, 1, 2, 3, 4]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 2, 1, 4, 3], [0, 3, 4, 2, 1], [0, 2, 1, 4, 3], [0, 1, 2, 4, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 1, 4, 3], [0, 3, 4, 2, 1], [0, 2, 1, 4, 3], [0, 2, 1, 4, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 1, 4, 3], [0, 3, 4, 2, 1], [0, 2, 1, 4, 3], [0, 3, 4, 2, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 1, 4, 3], [0, 3, 4, 2, 1], [0, 2, 1, 4, 3], [0, 4, 3, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 1, 4, 3], [0, 3, 4, 2, 1], [0, 3, 4, 2, 1], [0, 1, 2, 3, 4]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 1, 4, 3], [0, 3, 4, 2, 1], [0, 3, 4, 2, 1], [0, 2, 1, 4, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 1, 4, 3], [0, 3, 4, 2, 1], [0, 3, 4, 2, 1], [0, 3, 4, 2, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 1, 4, 3], [0, 3, 4, 2, 1], [0, 3, 4, 2, 1], [0, 4, 3, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 1, 4, 3], [0, 3, 4, 2, 1], [0, 4, 3, 1, 2], [0, 1, 2, 3, 4]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 1, 4, 3], [0, 3, 4, 2, 1], [0, 4, 3, 1, 2], [0, 2, 1, 4, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 1, 4, 3], [0, 3, 4, 2, 1], [0, 4, 3, 1, 2], [0, 3, 4, 2, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 1, 4, 3], [0, 3, 4, 2, 1], [0, 4, 3, 1, 2], [0, 4, 3, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
full order 24 3d 72 {'char0': 72, 'char2': 72, 'char3': 72} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 4, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 2, 3, 4, 1]]
full order 24 3d 72 {'char0': 72, 'char2': 72, 'char3': 72} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 2, 4, 1, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 3, 4, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 4, 1, 2, 3]]
full order 120 3d 360 {'char0': 360, 'char2': 360, 'char3': 360} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [1, 0, 4, 2, 3]]
full order 120 3d 360 {'char0': 360, 'char2': 360, 'char3': 360} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [1, 4, 2, 0, 3]]
full order 120 3d 360 {'char0': 360, 'char2': 360, 'char3': 360} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [1, 4, 3, 2, 0]]
full order 24 3d 72 {'char0': 72, 'char2': 72, 'char3': 72} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 1, 4, 2, 3], [0, 1, 2, 3, 4]]
full order 120 3d 360 {'char0': 360, 'char2': 360, 'char3': 360} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 1, 4, 2, 3], [1, 0, 4, 2, 3]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 1, 4, 3, 2], [0, 1, 2, 3, 4]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 1, 4, 3, 2], [0, 3, 4, 1, 2]]
full order 24 3d 72 {'char0': 72, 'char2': 72, 'char3': 72} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 2, 1, 4, 3], [0, 1, 2, 4, 3]]
full order 24 3d 72 {'char0': 72, 'char2': 72, 'char3': 72} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 2, 1, 4, 3], [0, 3, 4, 2, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 2, 3, 4, 1], [0, 1, 2, 3, 4]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 2, 3, 4, 1], [0, 2, 3, 4, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 2, 3, 4, 1], [0, 3, 4, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 2, 3, 4, 1], [0, 4, 1, 2, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 3, 4, 1, 2], [0, 1, 2, 3, 4]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 3, 4, 1, 2], [0, 2, 3, 4, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 3, 4, 1, 2], [0, 3, 4, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 3, 4, 1, 2], [0, 4, 1, 2, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 4, 1, 2, 3], [0, 1, 2, 3, 4]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 4, 1, 2, 3], [0, 2, 3, 4, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 4, 1, 2, 3], [0, 3, 4, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 4, 1, 2, 3], [0, 4, 1, 2, 3]]
full order 120 3d 360 {'char0': 360, 'char2': 360, 'char3': 360} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [1, 2, 0, 4, 3], [0, 1, 2, 3, 4]]
full order 120 3d 360 {'char0': 360, 'char2': 360, 'char3': 360} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [1, 2, 0, 4, 3], [0, 1, 2, 4, 3]]
full order 120 3d 360 {'char0': 360, 'char2': 360, 'char3': 360} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [1, 2, 0, 4, 3], [2, 0, 1, 4, 3]]
full order 20 3d 60 {'char0': 60, 'char2': 60, 'char3': 60} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [1, 3, 0, 2, 4], [0, 1, 2, 3, 4]]
full order 120 3d 360 {'char0': 360, 'char2': 360, 'char3': 360} gens [[0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [1, 4, 0, 2, 3], [0, 1, 2, 3, 4]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 2, 3, 4, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 3, 4, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 2, 3, 4, 1], [0, 1, 2, 3, 4], [0, 4, 1, 2, 3]]
full order 24 3d 72 {'char0': 72, 'char2': 72, 'char3': 72} gens [[0, 2, 3, 4, 1], [0, 2, 3, 4, 1], [0, 1, 4, 2, 3], [0, 1, 2, 3, 4]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 2, 3, 4, 1], [0, 2, 3, 4, 1], [0, 1, 4, 3, 2], [0, 1, 2, 3, 4]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 2, 3, 4, 1], [0, 2, 3, 4, 1], [0, 1, 4, 3, 2], [0, 3, 4, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 2, 3, 4, 1], [0, 2, 3, 4, 1], [0, 1, 2, 3, 4]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 2, 3, 4, 1], [0, 2, 3, 4, 1], [0, 2, 3, 4, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 2, 3, 4, 1], [0, 2, 3, 4, 1], [0, 3, 4, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 2, 3, 4, 1], [0, 2, 3, 4, 1], [0, 4, 1, 2, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 2, 3, 4, 1], [0, 3, 4, 1, 2], [0, 1, 2, 3, 4]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 2, 3, 4, 1], [0, 3, 4, 1, 2], [0, 2, 3, 4, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 2, 3, 4, 1], [0, 3, 4, 1, 2], [0, 3, 4, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 2, 3, 4, 1], [0, 3, 4, 1, 2], [0, 4, 1, 2, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 2, 3, 4, 1], [0, 4, 1, 2, 3], [0, 1, 2, 3, 4]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 2, 3, 4, 1], [0, 4, 1, 2, 3], [0, 2, 3, 4, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 2, 3, 4, 1], [0, 4, 1, 2, 3], [0, 3, 4, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 2, 3, 4, 1], [0, 4, 1, 2, 3], [0, 4, 1, 2, 3]]
full order 120 3d 360 {'char0': 360, 'char2': 360, 'char3': 360} gens [[0, 2, 3, 4, 1], [0, 2, 3, 4, 1], [1, 2, 0, 4, 3], [0, 1, 2, 3, 4]]
full order 20 3d 60 {'char0': 60, 'char2': 60, 'char3': 60} gens [[0, 2, 3, 4, 1], [0, 2, 3, 4, 1], [1, 3, 0, 2, 4], [0, 1, 2, 3, 4]]
full order 120 3d 360 {'char0': 360, 'char2': 360, 'char3': 360} gens [[0, 2, 3, 4, 1], [0, 2, 3, 4, 1], [1, 4, 0, 2, 3], [0, 1, 2, 3, 4]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 3, 4, 1, 2], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
full order 24 3d 72 {'char0': 72, 'char2': 72, 'char3': 72} gens [[0, 2, 3, 4, 1], [0, 3, 4, 1, 2], [0, 1, 2, 3, 4], [0, 1, 2, 4, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 3, 4, 1, 2], [0, 1, 2, 3, 4], [0, 2, 3, 4, 1]]
full order 24 3d 72 {'char0': 72, 'char2': 72, 'char3': 72} gens [[0, 2, 3, 4, 1], [0, 3, 4, 1, 2], [0, 1, 2, 3, 4], [0, 2, 4, 1, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 3, 4, 1, 2], [0, 1, 2, 3, 4], [0, 3, 4, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 3, 4, 1, 2], [0, 1, 2, 3, 4], [0, 4, 1, 2, 3]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 2, 3, 4, 1], [0, 3, 4, 1, 2], [0, 1, 4, 3, 2], [0, 1, 2, 3, 4]]
full order 8 3d 24 {'char0': 24, 'char2': 24, 'char3': 24} gens [[0, 2, 3, 4, 1], [0, 3, 4, 1, 2], [0, 1, 4, 3, 2], [0, 3, 4, 1, 2]]
full order 24 3d 72 {'char0': 72, 'char2': 72, 'char3': 72} gens [[0, 2, 3, 4, 1], [0, 3, 4, 1, 2], [0, 2, 1, 4, 3], [0, 1, 2, 4, 3]]
full order 24 3d 72 {'char0': 72, 'char2': 72, 'char3': 72} gens [[0, 2, 3, 4, 1], [0, 3, 4, 1, 2], [0, 2, 1, 4, 3], [0, 3, 4, 2, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 3, 4, 1, 2], [0, 2, 3, 4, 1], [0, 1, 2, 3, 4]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 3, 4, 1, 2], [0, 2, 3, 4, 1], [0, 2, 3, 4, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 3, 4, 1, 2], [0, 2, 3, 4, 1], [0, 3, 4, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 3, 4, 1, 2], [0, 2, 3, 4, 1], [0, 4, 1, 2, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 3, 4, 1, 2], [0, 3, 4, 1, 2], [0, 1, 2, 3, 4]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 3, 4, 1, 2], [0, 3, 4, 1, 2], [0, 2, 3, 4, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 3, 4, 1, 2], [0, 3, 4, 1, 2], [0, 3, 4, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 3, 4, 1, 2], [0, 3, 4, 1, 2], [0, 4, 1, 2, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 3, 4, 1, 2], [0, 4, 1, 2, 3], [0, 1, 2, 3, 4]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 3, 4, 1, 2], [0, 4, 1, 2, 3], [0, 2, 3, 4, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 3, 4, 1, 2], [0, 4, 1, 2, 3], [0, 3, 4, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 3, 4, 1, 2], [0, 4, 1, 2, 3], [0, 4, 1, 2, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 2, 3, 4, 1], [0, 4, 1, 2, 3], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]
